[
    ('packing_meal_for_delivery_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('dispose_of_a_pizza_box_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('preparing_food_for_a_fundraiser_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('serving_hors_d_oeuvres_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('laying_tile_floors_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('freeze_fruit_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('putting_away_Halloween_decorations_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('preparing_food_for_a_fundraiser_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('store_beer_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('bringing_in_wood_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('laying_wood_floors_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('putting_dishes_away_after_cleaning_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('store_beer_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('cook_squash_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('freeze_fruit_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('laying_tile_floors_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('bringing_in_wood_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('added_kitchen_task_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('cook_a_brisket_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('laying_wood_floors_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('added_kitchen_task_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('dispose_of_a_pizza_box_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('putting_away_Halloween_decorations_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('putting_away_Halloween_decorations_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('putting_dishes_away_after_cleaning_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('clearing_food_from_table_into_fridge_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('boxing_books_up_for_storage_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('store_beer_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('serving_hors_d_oeuvres_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('cook_a_brisket_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('boxing_food_after_dinner_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('recycling_office_papers_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('recycling_office_papers_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('bringing_in_wood_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('clearing_food_from_table_into_fridge_backdoor_2_Beechwood_0_int', 'Beechwood_0_int'),
    ('preparing_food_for_a_fundraiser_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('freeze_fruit_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('clean_up_broken_glass_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('clean_up_broken_glass_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('laying_wood_floors_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
    ('cook_squash_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('boxing_books_up_for_storage_backdoor_3_Beechwood_0_int', 'Beechwood_0_int'),
    ('added_kitchen_task_backdoor_1_Beechwood_0_int', 'Beechwood_0_int'),
